time,x,v,KE,PE
1.08e-08,0.0253982,964623,2.64523,5.51225
1.09e-08,0.0254954,972453,2.68835,5.47282
1.1e-08,0.0255934,980252,2.73164,5.43307
1.11e-08,0.0256922,988019,2.7751,5.393
1.12e-08,0.0257918,995755,2.81873,5.35262
1.13e-08,0.0258922,1.00346e+06,2.86252,5.31192
1.14e-08,0.0259933,1.01113e+06,2.90646,5.27091
1.15e-08,0.0260952,1.01877e+06,2.95055,5.22959
1.16e-08,0.0261978,1.02638e+06,2.99479,5.18795
1.17e-08,0.0263012,1.03396e+06,3.03915,5.14601
1.18e-08,0.0264053,1.0415e+06,3.08366,5.10376
1.19e-08,0.0265102,1.04901e+06,3.12828,5.0612
1.2e-08,0.0266159,1.05648e+06,3.17303,5.01834
1.21e-08,0.0267223,1.06393e+06,3.21789,4.97518
1.22e-08,0.0268294,1.07133e+06,3.26286,4.93171
1.23e-08,0.0269373,1.07871e+06,3.30793,4.88794
1.24e-08,0.0270459,1.08605e+06,3.3531,4.84387
1.25e-08,0.0271552,1.09335e+06,3.39837,4.79951
1.26e-08,0.0272653,1.10062e+06,3.44371,4.75484
1.27e-08,0.0273761,1.10786e+06,3.48914,4.70989
1.28e-08,0.0274876,1.11506e+06,3.53464,4.66463
1.29e-08,0.0275998,1.12223e+06,3.58021,4.61909
1.3e-08,0.0277127,1.12935e+06,3.62584,4.57325
1.31e-08,0.0278264,1.13645e+06,3.67153,4.52713
1.32e-08,0.0279407,1.1435e+06,3.71727,4.48072
1.33e-08,0.0280558,1.15053e+06,3.76306,4.43402
1.34e-08,0.0281715,1.15751e+06,3.80888,4.38703
1.35e-08,0.028288,1.16446e+06,3.85474,4.33976
1.36e-08,0.0284051,1.17137e+06,3.90062,4.29221
1.37e-08,0.0285229,1.17824e+06,3.94653,4.24438
1.38e-08,0.0286414,1.18507e+06,3.99245,4.19627
1.39e-08,0.0287606,1.19187e+06,4.03839,4.14788
1.4e-08,0.0288805,1.19863e+06,4.08432,4.09922
1.41e-08,0.029001,1.20535e+06,4.13026,4.05028
1.42e-08,0.0291222,1.21204e+06,4.17619,4.00107
1.43e-08,0.0292441,1.21868e+06,4.2221,3.95159
1.44e-08,0.0293666,1.22529e+06,4.268,3.90184
1.45e-08,0.0294898,1.23185e+06,4.31387,3.85182
1.46e-08,0.0296137,1.23838e+06,4.35971,3.80153
1.47e-08,0.0297381,1.24487e+06,4.40551,3.75098
1.48e-08,0.0298633,1.25132e+06,4.45127,3.70017
1.49e-08,0.029989,1.25773e+06,4.49698,3.64909
1.5e-08,0.0301155,1.2641e+06,4.54264,3.60248
1.51e-08,0.0302425,1.27042e+06,4.58824,3.56235
1.52e-08,0.0303702,1.27671e+06,4.63377,3.52202
1.53e-08,0.0304985,1.28296e+06,4.67923,3.48149
1.54e-08,0.0306274,1.28917e+06,4.72461,3.44077
1.55e-08,0.0307569,1.29533e+06,4.76991,3.39985
1.56e-08,0.0308871,1.30146e+06,4.81512,3.35873
1.57e-08,0.0310178,1.30754e+06,4.86024,3.31742
1.58e-08,0.0311492,1.31358e+06,4.90525,3.27592
1.59e-08,0.0312811,1.31958e+06,4.95016,3.23423
1.6e-08,0.0314137,1.32554e+06,4.99496,3.19235
1.61e-08,0.0315468,1.33145e+06,5.03964,3.15028
1.62e-08,0.0316806,1.33732e+06,5.0842,3.10802
1.63e-08,0.0318149,1.34316e+06,5.12863,3.06558
1.64e-08,0.0319498,1.34894e+06,5.17292,3.02296
1.65e-08,0.0320852,1.35469e+06,5.21707,2.98015
1.66e-08,0.0322213,1.36039e+06,5.26108,2.93716
1.67e-08,0.0323579,1.36605e+06,5.30494,2.894
1.68e-08,0.0324951,1.37166e+06,5.34863,2.85065
1.69e-08,0.0326328,1.37723e+06,5.39217,2.80712
1.7e-08,0.0327711,1.38276e+06,5.43554,2.76343
1.71e-08,0.0329099,1.38824e+06,5.47873,2.71955
1.72e-08,0.0330492,1.39368e+06,5.52175,2.6755
1.73e-08,0.0331892,1.39908e+06,5.56458,2.63129
1.74e-08,0.0333296,1.40443e+06,5.60722,2.5869
1.75e-08,0.0334706,1.40973e+06,5.64966,2.54234
1.76e-08,0.0336121,1.41499e+06,5.69191,2.49762
1.77e-08,0.0337541,1.42021e+06,5.73395,2.45272
1.78e-08,0.0338966,1.42538e+06,5.77577,2.40767
1.79e-08,0.0340397,1.43051e+06,5.81738,2.36245
1.8e-08,0.0341832,1.43559e+06,5.85877,2.31707
1.81e-08,0.0343273,1.44062e+06,5.89993,2.27153
1.82e-08,0.0344719,1.44561e+06,5.94086,2.22583
1.83e-08,0.0346169,1.45055e+06,5.98154,2.17998
1.84e-08,0.0347625,1.45544e+06,6.02199,2.13397
1.85e-08,0.0349085,1.46029e+06,6.06219,2.0878
1.86e-08,0.035055,1.4651e+06,6.10213,2.04148
1.87e-08,0.035202,1.46985e+06,6.14182,2.00664
1.88e-08,0.0353494,1.47456e+06,6.18124,1.97334
1.89e-08,0.0354974,1.47923e+06,6.22039,1.93993
1.9e-08,0.0356457,1.48384e+06,6.25927,1.90642
1.91e-08,0.0357946,1.48841e+06,6.29787,1.87281
1.92e-08,0.0359439,1.49293e+06,6.33619,1.83909
1.93e-08,0.0360936,1.4974e+06,6.37422,1.80527
1.94e-08,0.0362438,1.50183e+06,6.41195,1.77135
1.95e-08,0.0363944,1.50621e+06,6.44939,1.73733
1.96e-08,0.0365455,1.51054e+06,6.48653,1.70322
1.97e-08,0.036697,1.51482e+06,6.52335,1.669
1.98e-08,0.0368489,1.51905e+06,6.55987,1.63469
1.99e-08,0.0370012,1.52324e+06,6.59607,1.60028
2e-08,0.0371539,1.52738e+06,6.63195,1.56578
2.01e-08,0.0373071,1.53147e+06,6.6675,1.53119
2.02e-08,0.0374606,1.53551e+06,6.70272,1.4965
2.03e-08,0.0376146,1.5395e+06,6.73761,1.46173
2.04e-08,0.0377689,1.54344e+06,6.77215,1.42686
2.05e-08,0.0379236,1.54733e+06,6.80636,1.3919
2.06e-08,0.0380788,1.55117e+06,6.84021,1.35686
2.07e-08,0.0382343,1.55497e+06,6.87371,1.32173
2.08e-08,0.0383901,1.55871e+06,6.90686,1.28652
2.09e-08,0.0385464,1.56241e+06,6.93964,1.25122
2.1e-08,0.038703,1.56605e+06,6.97206,1.21584
2.11e-08,0.0388599,1.56965e+06,7.00411,1.18038
2.12e-08,0.0390173,1.57319e+06,7.03579,1.14483
2.13e-08,0.0391749,1.57669e+06,7.06709,1.10921
2.14e-08,0.0393329,1.58013e+06,7.09801,1.07351
2.15e-08,0.0394913,1.58353e+06,7.12854,1.03773
2.16e-08,0.03965,1.58687e+06,7.15868,1.00187
2.17e-08,0.039809,1.59017e+06,7.18843,0.965942
