ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,E_total
0,1e-07,2.72202,2800,280000,0,0,5.36287e-17,1.93303e-13,1.16677e-08,1.16679e-08
1,2e-07,3.05721,5600,560000,5.37409e-23,-6.11045e-24,1.10363e-16,4.09645e-13,1.16677e-08,1.16681e-08
2,3e-07,3.3753,8400,840000,1.69182e-22,2.60266e-24,1.70202e-16,6.50314e-13,1.16677e-08,1.16683e-08
3,4e-07,3.75895,11200,1.12e+06,3.76417e-22,2.27432e-23,2.33147e-16,9.16611e-13,1.16677e-08,1.16686e-08
4,5e-07,4.15385,14000,1.4e+06,6.78962e-22,6.8975e-23,2.99196e-16,1.20983e-12,1.16676e-08,1.16688e-08
5,6e-07,4.56632,16800,1.68e+06,1.08215e-21,1.53808e-22,3.6835e-16,1.53126e-12,1.16676e-08,1.16691e-08
6,7e-07,5.01912,19600,1.96e+06,1.60187e-21,2.70311e-22,4.40605e-16,1.88219e-12,1.16675e-08,1.16694e-08
7,8e-07,5.51102,22399,2.2399e+06,2.25772e-21,4.24292e-22,5.15936e-16,2.26376e-12,1.16675e-08,1.16697e-08
8,9e-07,5.99872,25199,2.5199e+06,3.02418e-21,6.2512e-22,5.94392e-16,2.67753e-12,1.16674e-08,1.16701e-08
9,1e-06,6.51474,27999,2.7999e+06,3.88759e-21,8.77685e-22,6.75949e-16,3.12464e-12,1.16673e-08,1.16704e-08
10,1.1e-06,7.04091,30799,3.0799e+06,4.86112e-21,1.16494e-21,7.60605e-16,3.6064e-12,1.16672e-08,1.16708e-08
11,1.2e-06,7.61571,33599,3.3599e+06,5.95782e-21,1.50784e-21,8.48358e-16,4.12408e-12,1.16671e-08,1.16712e-08
12,1.3e-06,8.1697,36399,3.6399e+06,7.21246e-21,1.88422e-21,9.3921e-16,4.67898e-12,1.1667e-08,1.16717e-08
13,1.4e-06,8.74495,39199,3.9199e+06,8.66274e-21,2.30929e-21,1.03316e-15,5.27237e-12,1.1667e-08,1.16723e-08
14,1.5e-06,9.33558,41999,4.1999e+06,1.03276e-20,2.79965e-21,1.1302e-15,5.90555e-12,1.16669e-08,1.16728e-08
15,1.6e-06,9.93669,44799,4.4799e+06,1.21624e-20,3.36603e-21,1.23034e-15,6.57982e-12,1.16669e-08,1.16734e-08
16,1.7e-06,10.5461,47598,4.7598e+06,1.42411e-20,4.00376e-21,1.33355e-15,7.2962e-12,1.16668e-08,1.16741e-08
17,1.8e-06,11.1684,50398,5.0398e+06,1.64333e-20,4.66223e-21,1.43988e-15,8.05649e-12,1.16668e-08,1.16749e-08
18,1.9e-06,11.8076,53198,5.3198e+06,1.87612e-20,5.33546e-21,1.54931e-15,8.86173e-12,1.16668e-08,1.16756e-08
19,2e-06,12.4593,55998,5.5998e+06,2.11993e-20,5.99474e-21,1.66184e-15,9.71321e-12,1.16667e-08,1.16764e-08
20,2.1e-06,13.1433,58797,5.8797e+06,2.37799e-20,6.6111e-21,1.77744e-15,1.06121e-11,1.16667e-08,1.16773e-08
21,2.2e-06,13.8861,61597,6.1597e+06,2.6516e-20,7.20101e-21,1.89615e-15,1.15599e-11,1.16667e-08,1.16782e-08
22,2.3e-06,14.5685,64396,6.4396e+06,2.94977e-20,7.797e-21,2.01792e-15,1.25575e-11,1.16666e-08,1.16792e-08
23,2.4e-06,15.254,67196,6.7196e+06,3.25751e-20,8.32839e-21,2.14282e-15,1.36067e-11,1.16666e-08,1.16802e-08
24,2.5e-06,15.948,69996,6.9996e+06,3.58588e-20,8.79803e-21,2.27082e-15,1.47087e-11,1.16665e-08,1.16812e-08
25,2.6e-06,16.6632,72794,7.2794e+06,3.93987e-20,9.38864e-21,2.40182e-15,1.58639e-11,1.16665e-08,1.16824e-08
26,2.7e-06,17.3845,75593,7.5593e+06,4.32311e-20,9.88945e-21,2.53595e-15,1.70746e-11,1.16664e-08,1.16835e-08
27,2.8e-06,18.1022,78393,7.8393e+06,4.73231e-20,1.0305e-20,2.67322e-15,1.83422e-11,1.16664e-08,1.16847e-08
28,2.9e-06,18.8663,81191,8.1191e+06,5.16519e-20,1.08975e-20,2.81349e-15,1.9667e-11,1.16663e-08,1.1686e-08
29,3e-06,19.6237,83990,8.399e+06,5.64256e-20,1.14101e-20,2.95689e-15,2.1051e-11,1.16663e-08,1.16873e-08
30,3.1e-06,20.369,86789,8.6789e+06,6.14863e-20,1.18946e-20,3.10339e-15,2.24956e-11,1.16662e-08,1.16887e-08
31,3.2e-06,21.1373,89588,8.9588e+06,6.6981e-20,1.25596e-20,3.25297e-15,2.40018e-11,1.16662e-08,1.16902e-08
32,3.3e-06,21.9067,92386,9.2386e+06,7.29611e-20,1.38313e-20,3.40558e-15,2.55703e-11,1.16661e-08,1.16917e-08
33,3.4e-06,22.6891,95185,9.5185e+06,7.97454e-20,1.48043e-20,3.56134e-15,2.72036e-11,1.1666e-08,1.16932e-08
34,3.5e-06,23.4575,97980,9.798e+06,8.67769e-20,1.56923e-20,3.71998e-15,2.89005e-11,1.1666e-08,1.16949e-08
35,3.6e-06,24.235,100780,1.0078e+07,9.4518e-20,1.70931e-20,3.88196e-15,3.06666e-11,1.16659e-08,1.16965e-08
36,3.7e-06,25.0176,103577,1.03577e+07,1.02995e-19,1.87794e-20,4.04691e-15,3.25e-11,1.16658e-08,1.16983e-08
37,3.8e-06,25.8094,106375,1.06375e+07,1.11761e-19,2.02688e-20,4.21495e-15,3.44026e-11,1.16657e-08,1.17001e-08
38,3.9e-06,26.6003,109172,1.09172e+07,1.22547e-19,2.25856e-20,4.38602e-15,3.63752e-11,1.16656e-08,1.1702e-08
39,4e-06,27.4112,111968,1.11968e+07,1.33538e-19,2.5006e-20,4.56014e-15,3.84197e-11,1.16656e-08,1.1704e-08
40,4.1e-06,28.2126,114764,1.14764e+07,1.4589e-19,2.86666e-20,4.73734e-15,4.05376e-11,1.16655e-08,1.1706e-08
41,4.2e-06,29.1023,117559,1.17559e+07,1.58e-19,3.2337e-20,4.9176e-15,4.273e-11,1.16654e-08,1.17081e-08
42,4.3e-06,29.9207,120356,1.20356e+07,1.71525e-19,3.7448e-20,5.10103e-15,4.49993e-11,1.16653e-08,1.17103e-08
43,4.4e-06,30.7455,123149,1.23149e+07,1.87158e-19,4.14608e-20,5.28731e-15,4.73433e-11,1.16652e-08,1.17125e-08
44,4.5e-06,31.572,125942,1.25942e+07,2.04978e-19,4.97545e-20,5.4767e-15,4.97666e-11,1.16651e-08,1.17149e-08
45,4.6e-06,32.4087,128741,1.28741e+07,2.23979e-19,5.74542e-20,5.66951e-15,5.22739e-11,1.1665e-08,1.17173e-08
46,4.7e-06,33.2543,131538,1.31538e+07,2.4366e-19,6.60428e-20,5.86531e-15,5.48618e-11,1.16649e-08,1.17197e-08
47,4.8e-06,34.0914,134331,1.34331e+07,2.6645e-19,7.71614e-20,6.06396e-15,5.75303e-11,1.16648e-08,1.17223e-08
48,4.9e-06,34.9495,137124,1.37124e+07,2.90313e-19,8.98791e-20,6.26571e-15,6.02835e-11,1.16647e-08,1.17249e-08
