ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,E_total
49,5e-06,35.819,139919,1.39919e+07,3.1907e-19,1.05499e-19,6.47071e-15,6.31257e-11,1.16645e-08,1.17277e-08
50,5.1e-06,36.6731,142704,1.42704e+07,3.51534e-19,1.24483e-19,6.67819e-15,6.60484e-11,1.16644e-08,1.17305e-08
51,5.2e-06,37.5483,145487,1.45487e+07,3.87895e-19,1.46632e-19,6.88865e-15,6.90596e-11,1.16643e-08,1.17334e-08
52,5.3e-06,38.4139,148236,1.48236e+07,4.19891e-19,1.74116e-19,7.09895e-15,7.21045e-11,1.16642e-08,1.17363e-08
53,5.4e-06,39.2828,150902,1.50902e+07,4.63178e-19,1.85515e-19,7.30497e-15,7.51179e-11,1.16641e-08,1.17392e-08
54,5.5e-06,40.1633,153521,1.53521e+07,4.28421e-19,1.26298e-19,7.50944e-15,7.81405e-11,1.1664e-08,1.17421e-08
55,5.6e-06,41.0464,156084,1.56084e+07,4.65612e-19,1.47582e-19,7.71132e-15,8.11528e-11,1.16638e-08,1.1745e-08
56,5.7e-06,41.9269,158581,1.58581e+07,4.96345e-19,1.49389e-19,7.90987e-15,8.41438e-11,1.16637e-08,1.17479e-08
57,5.8e-06,42.8036,161011,1.61011e+07,3.63532e-19,8.25421e-21,8.10472e-15,8.71035e-11,1.16636e-08,1.17507e-08
58,5.9e-06,43.6804,163409,1.63409e+07,3.16405e-19,-7.95471e-20,8.29873e-15,9.00786e-11,1.16635e-08,1.17536e-08
59,6e-06,44.5784,165706,1.65706e+07,2.80409e-19,-3.62577e-20,8.48584e-15,9.29676e-11,1.16634e-08,1.17564e-08
60,6.1e-06,45.5051,167967,1.67967e+07,2.74646e-19,-1.28751e-19,8.67122e-15,9.58497e-11,1.16633e-08,1.17592e-08
61,6.2e-06,46.542,170197,1.70197e+07,5.49915e-19,-3.19712e-19,8.85543e-15,9.87351e-11,1.16632e-08,1.1762e-08
62,6.3e-06,47.4849,172409,1.72409e+07,5.71762e-19,1.97801e-20,9.03987e-15,1.01653e-10,1.16631e-08,1.17648e-08
63,6.4e-06,48.402,174552,1.74552e+07,8.67595e-19,-3.66426e-19,9.21941e-15,1.04507e-10,1.1663e-08,1.17675e-08
64,6.5e-06,49.3301,176679,1.76679e+07,7.44902e-19,-3.7152e-19,9.39889e-15,1.07381e-10,1.16629e-08,1.17703e-08
65,6.6e-06,50.3341,178738,1.78738e+07,7.11803e-19,-6.38411e-19,9.57338e-15,1.10188e-10,1.16628e-08,1.1773e-08
66,6.7e-06,51.2944,180838,1.80838e+07,9.3104e-19,-1.06635e-18,9.75278e-15,1.13099e-10,1.16628e-08,1.17759e-08
67,6.8e-06,52.281,182917,1.82917e+07,6.41702e-19,-1.07072e-18,9.93136e-15,1.16013e-10,1.16627e-08,1.17787e-08
68,6.9e-06,53.2841,184919,1.84919e+07,7.95439e-19,-7.24536e-19,1.01039e-14,1.18839e-10,1.16626e-08,1.17814e-08
69,7e-06,54.2797,186940,1.8694e+07,8.13684e-19,-7.86766e-19,1.0279e-14,1.21725e-10,1.16625e-08,1.17842e-08
70,7.1e-06,55.2345,188908,1.88908e+07,8.97643e-19,-8.58745e-19,1.045e-14,1.24554e-10,1.16624e-08,1.1787e-08
71,7.2e-06,56.208,190877,1.90877e+07,9.43166e-19,-7.37761e-19,1.06219e-14,1.27411e-10,1.16623e-08,1.17897e-08
72,7.3e-06,57.2122,192827,1.92827e+07,8.8021e-19,-9.91757e-19,1.07924e-14,1.30251e-10,1.16622e-08,1.17925e-08
73,7.4e-06,58.2684,194806,1.94806e+07,9.94276e-19,-1.04074e-18,1.09663e-14,1.33164e-10,1.16622e-08,1.17953e-08
74,7.5e-06,59.3063,196783,1.96783e+07,1.37139e-18,-1.20387e-18,1.11406e-14,1.36093e-10,1.16621e-08,1.17982e-08
75,7.6e-06,60.3212,198705,1.98705e+07,1.14169e-18,-1.01929e-18,1.13103e-14,1.38952e-10,1.1662e-08,1.18009e-08
76,7.7e-06,61.3477,200685,2.00685e+07,1.29768e-18,-6.876e-19,1.14858e-14,1.41921e-10,1.16619e-08,1.18038e-08
77,7.8e-06,62.3762,202675,2.02675e+07,9.28707e-19,-7.72964e-19,1.16624e-14,1.44915e-10,1.16618e-08,1.18067e-08
78,7.9e-06,63.4302,204674,2.04674e+07,1.26787e-18,-1.00435e-18,1.18401e-14,1.47933e-10,1.16617e-08,1.18097e-08
79,8e-06,64.5086,206625,2.06625e+07,1.13448e-18,-1.31241e-18,1.20139e-14,1.5089e-10,1.16617e-08,1.18126e-08
80,8.1e-06,65.6144,208625,2.08625e+07,1.72497e-18,-1.77506e-18,1.21922e-14,1.53931e-10,1.16616e-08,1.18155e-08
81,8.2e-06,66.8284,210597,2.10597e+07,1.5512e-18,-1.3016e-18,1.23683e-14,1.56941e-10,1.16615e-08,1.18184e-08
82,8.3e-06,67.9295,212560,2.1256e+07,1.57291e-18,-1.28048e-18,1.25437e-14,1.59945e-10,1.16614e-08,1.18214e-08
83,8.4e-06,69.034,214500,2.145e+07,1.56011e-18,-1.32489e-18,1.27174e-14,1.62921e-10,1.16613e-08,1.18243e-08
84,8.5e-06,70.1739,216468,2.16468e+07,1.27675e-18,-1.53551e-18,1.28935e-14,1.65943e-10,1.16613e-08,1.18272e-08
85,8.6e-06,71.3477,218411,2.18411e+07,1.34522e-18,-1.50741e-18,1.30675e-14,1.6893e-10,1.16612e-08,1.18301e-08
86,8.7e-06,72.5012,220375,2.20375e+07,1.15241e-18,-1.63264e-18,1.32435e-14,1.71954e-10,1.16611e-08,1.18331e-08
87,8.8e-06,73.6785,222351,2.22351e+07,1.23298e-18,-1.71297e-18,1.34209e-14,1.75007e-10,1.1661e-08,1.1836e-08
88,8.9e-06,74.836,224302,2.24302e+07,9.93416e-19,-1.78756e-18,1.35957e-14,1.78011e-10,1.1661e-08,1.1839e-08
89,9e-06,76,226317,2.26317e+07,7.69272e-19,-1.92595e-18,1.37762e-14,1.81116e-10,1.16609e-08,1.1842e-08
90,9.1e-06,77.1748,228231,2.28231e+07,6.71854e-19,-1.38292e-18,1.39479e-14,1.84072e-10,1.16608e-08,1.18449e-08
91,9.2e-06,78.3616,230165,2.30165e+07,4.71036e-19,-1.5136e-18,1.41213e-14,1.87055e-10,1.16607e-08,1.18478e-08
92,9.3e-06,79.5464,232095,2.32095e+07,7.04447e-19,-1.99212e-18,1.42945e-14,1.90041e-10,1.16606e-08,1.18507e-08
93,9.4e-06,80.748,234000,2.34e+07,7.75318e-19,-1.69501e-18,1.44656e-14,1.9299e-10,1.16606e-08,1.18536e-08
94,9.5e-06,81.9226,235932,2.35932e+07,6.66792e-19,-1.45038e-18,1.4639e-14,1.9598e-10,1.16605e-08,1.18565e-08
95,9.6e-06,83.1276,237909,2.37909e+07,5.90894e-19,-1.54636e-18,1.48167e-14,1.99043e-10,1.16604e-08,1.18595e-08
96,9.7e-06,84.3675,239889,2.39889e+07,1.1407e-18,-1.7012e-18,1.49945e-14,2.02113e-10,1.16603e-08,1.18624e-08
97,9.8e-06,85.5628,241861,2.41861e+07,1.23222e-18,-1.77101e-18,1.51716e-14,2.0517e-10,1.16603e-08,1.18654e-08
98,9.9e-06,86.7639,243800,2.438e+07,1.85909e-18,-1.97838e-18,1.53459e-14,2.0818e-10,1.16602e-08,1.18684e-08
99,1e-05,87.9631,245721,2.45721e+07,1.77443e-18,-1.80256e-18,1.55186e-14,2.11165e-10,1.16601e-08,1.18713e-08
100,1.01e-05,89.2308,247608,2.47608e+07,1.53328e-18,-2.14209e-18,1.5688e-14,2.14088e-10,1.166e-08,1.18741e-08
101,1.02e-05,90.6125,249514,2.49514e+07,1.75622e-18,-2.42824e-18,1.58591e-14,2.1704e-10,1.166e-08,1.1877e-08
102,1.03e-05,91.8667,251415,2.51415e+07,1.88555e-18,-2.79198e-18,1.60299e-14,2.19988e-10,1.16599e-08,1.18799e-08
103,1.04e-05,93.1055,253297,2.53297e+07,1.9771e-18,-2.19145e-18,1.61991e-14,2.22913e-10,1.16598e-08,1.18827e-08
104,1.05e-05,94.3381,255234,2.55234e+07,2.10785e-18,-2.31368e-18,1.63729e-14,2.25911e-10,1.16597e-08,1.18856e-08
105,1.06e-05,95.5693,257138,2.57138e+07,2.07246e-18,-2.8164e-18,1.65437e-14,2.28856e-10,1.16596e-08,1.18885e-08
106,1.07e-05,96.8194,259074,2.59074e+07,2.04886e-18,-3.09884e-18,1.67175e-14,2.31855e-10,1.16596e-08,1.18914e-08
107,1.08e-05,98.0695,260983,2.60983e+07,1.88238e-18,-3.04561e-18,1.68889e-14,2.34814e-10,1.16595e-08,1.18943e-08
108,1.09e-05,99.3178,262935,2.62935e+07,1.7004e-18,-2.83644e-18,1.70641e-14,2.37836e-10,1.16594e-08,1.18973e-08
109,1.1e-05,100.567,264779,2.64779e+07,1.83899e-18,-2.8698e-18,1.72297e-14,2.40697e-10,1.16593e-08,1.19e-08
110,1.11e-05,101.815,266700,2.667e+07,2.23724e-18,-3.02901e-18,1.74022e-14,2.43674e-10,1.16593e-08,1.19029e-08
111,1.12e-05,103.061,268624,2.68624e+07,2.49397e-18,-2.93733e-18,1.75749e-14,2.46654e-10,1.16592e-08,1.19059e-08
112,1.13e-05,104.321,270556,2.70556e+07,2.33373e-18,-3.03435e-18,1.77483e-14,2.49646e-10,1.16591e-08,1.19088e-08
113,1.14e-05,105.582,272507,2.72507e+07,2.08774e-18,-2.88894e-18,1.79236e-14,2.52673e-10,1.1659e-08,1.19117e-08
114,1.15e-05,106.845,274386,2.74386e+07,1.87308e-18,-3.54384e-18,1.80923e-14,2.55588e-10,1.1659e-08,1.19146e-08
115,1.16e-05,108.114,276334,2.76334e+07,2.16127e-18,-3.42322e-18,1.82672e-14,2.58605e-10,1.16589e-08,1.19175e-08
116,1.17e-05,109.376,278231,2.78231e+07,2.14754e-18,-3.32264e-18,1.84376e-14,2.61548e-10,1.16588e-08,1.19204e-08
117,1.18e-05,110.644,280087,2.80087e+07,2.13619e-18,-3.17426e-18,1.86045e-14,2.64435e-10,1.16588e-08,1.19232e-08
118,1.19e-05,111.94,282010,2.8201e+07,2.12969e-18,-3.4085e-18,1.87773e-14,2.67418e-10,1.16587e-08,1.19261e-08
119,1.2e-05,113.269,283926,2.83926e+07,2.05194e-18,-3.47839e-18,1.89493e-14,2.70388e-10,1.16586e-08,1.1929e-08
120,1.21e-05,114.618,285808,2.85808e+07,2.18115e-18,-3.21966e-18,1.91181e-14,2.73304e-10,1.16585e-08,1.19318e-08
121,1.22e-05,116.029,287701,2.87701e+07,2.64483e-18,-3.59554e-18,1.92881e-14,2.76237e-10,1.16585e-08,1.19347e-08
122,1.23e-05,117.309,289602,2.89602e+07,2.72457e-18,-3.64033e-18,1.94587e-14,2.79183e-10,1.16584e-08,1.19376e-08
123,1.24e-05,118.594,291484,2.91484e+07,2.89486e-18,-3.52862e-18,1.96278e-14,2.82106e-10,1.16583e-08,1.19404e-08
124,1.25e-05,119.886,293394,2.93394e+07,2.92398e-18,-3.59669e-18,1.97995e-14,2.85074e-10,1.16583e-08,1.19433e-08
125,1.26e-05,121.185,295192,2.95192e+07,3.17531e-18,-3.32299e-18,1.99608e-14,2.87862e-10,1.16582e-08,1.19461e-08
126,1.27e-05,122.476,297062,2.97062e+07,3.21526e-18,-3.33831e-18,2.01283e-14,2.9075e-10,1.16581e-08,1.19489e-08
127,1.28e-05,123.761,298981,2.98981e+07,3.50425e-18,-2.94571e-18,2.03003e-14,2.93715e-10,1.16581e-08,1.19518e-08
128,1.29e-05,125.046,300864,3.00864e+07,3.28446e-18,-2.65514e-18,2.04691e-14,2.96626e-10,1.1658e-08,1.19546e-08
129,1.3e-05,126.337,302765,3.02765e+07,3.21701e-18,-2.73111e-18,2.06396e-14,2.99567e-10,1.16579e-08,1.19575e-08
130,1.31e-05,127.625,304666,3.04666e+07,3.27505e-18,-2.98954e-18,2.081e-14,3.02506e-10,1.16579e-08,1.19604e-08
131,1.32e-05,128.91,306575,3.06575e+07,3.46586e-18,-3.29957e-18,2.09813e-14,3.05462e-10,1.16578e-08,1.19633e-08
132,1.33e-05,130.207,308472,3.08472e+07,3.31749e-18,-3.86948e-18,2.11513e-14,3.08395e-10,1.16577e-08,1.19661e-08
133,1.34e-05,131.513,310306,3.10306e+07,3.26914e-18,-3.57091e-18,2.13155e-14,3.11226e-10,1.16577e-08,1.19689e-08
134,1.35e-05,132.813,312209,3.12209e+07,3.20031e-18,-3.89669e-18,2.14859e-14,3.14162e-10,1.16576e-08,1.19718e-08
135,1.36e-05,134.111,314104,3.14104e+07,3.54095e-18,-3.2773e-18,2.16555e-14,3.17084e-10,1.16575e-08,1.19746e-08
136,1.37e-05,135.411,316014,3.16014e+07,3.29833e-18,-3.39813e-18,2.18268e-14,3.20041e-10,1.16575e-08,1.19775e-08
137,1.38e-05,136.708,317885,3.17885e+07,3.19553e-18,-3.08421e-18,2.19946e-14,3.22936e-10,1.16574e-08,1.19803e-08
138,1.39e-05,138.008,319767,3.19767e+07,3.1896e-18,-3.17139e-18,2.21634e-14,3.25851e-10,1.16573e-08,1.19832e-08
139,1.4e-05,139.316,321648,3.21648e+07,3.16386e-18,-3.06194e-18,2.23321e-14,3.28763e-10,1.16573e-08,1.1986e-08
140,1.41e-05,140.611,323501,3.23501e+07,3.3148e-18,-3.37394e-18,2.24985e-14,3.31637e-10,1.16572e-08,1.19889e-08
141,1.42e-05,142.03,325396,3.25396e+07,3.36057e-18,-3.34695e-18,2.26681e-14,3.3456e-10,1.16572e-08,1.19917e-08
142,1.43e-05,143.266,327258,3.27258e+07,3.51732e-18,-3.29421e-18,2.28351e-14,3.37442e-10,1.16571e-08,1.19946e-08
143,1.44e-05,144.379,329145,3.29145e+07,3.65668e-18,-2.91206e-18,2.3004e-14,3.40352e-10,1.16571e-08,1.19975e-08
144,1.45e-05,145.248,329980,3.2998e+07,3.17108e-18,-2.49433e-18,2.30782e-14,3.41623e-10,1.16571e-08,1.19987e-08
145,1.46e-05,145.782,330009,3.30009e+07,2.51518e-18,-1.74292e-18,2.30799e-14,3.4164e-10,1.16571e-08,1.19987e-08
146,1.47e-05,146.399,329945,3.29945e+07,2.14729e-18,-2.14537e-18,2.30732e-14,3.41515e-10,1.16571e-08,1.19986e-08
147,1.48e-05,147.038,330016,3.30016e+07,1.82215e-18,-2.8448e-18,2.30787e-14,3.41596e-10,1.16571e-08,1.19987e-08
148,1.49e-05,147.632,330065,3.30065e+07,1.78388e-18,-2.58551e-18,2.30823e-14,3.41648e-10,1.16571e-08,1.19988e-08
149,1.5e-05,148.271,330071,3.30071e+07,1.76393e-18,-2.8536e-18,2.3082e-14,3.41631e-10,1.16571e-08,1.19987e-08
150,1.51e-05,148.991,330093,3.30093e+07,1.80933e-18,-3.10179e-18,2.3083e-14,3.41637e-10,1.16571e-08,1.19987e-08
151,1.52e-05,149.669,330044,3.30044e+07,1.57835e-18,-2.77249e-18,2.3078e-14,3.4154e-10,1.16571e-08,1.19986e-08
152,1.53e-05,150.313,330178,3.30178e+07,2.07094e-18,-2.89693e-18,2.30892e-14,3.41723e-10,1.16571e-08,1.19988e-08
153,1.54e-05,150.627,330133,3.30133e+07,2.3337e-18,-3.11075e-18,2.30841e-14,3.41624e-10,1.16571e-08,1.19987e-08
154,1.55e-05,151.277,330125,3.30125e+07,2.17318e-18,-3.15464e-18,2.30825e-14,3.41584e-10,1.16571e-08,1.19987e-08
155,1.56e-05,151.955,330127,3.30127e+07,1.76887e-18,-3.34557e-18,2.30819e-14,3.41562e-10,1.16571e-08,1.19987e-08
156,1.57e-05,152.653,330172,3.30172e+07,1.11736e-18,-2.69015e-18,2.3085e-14,3.41606e-10,1.16571e-08,1.19987e-08
157,1.58e-05,153.32,330261,3.30261e+07,1.73621e-18,-2.46073e-18,2.30922e-14,3.41717e-10,1.16571e-08,1.19988e-08
158,1.59e-05,153.938,330201,3.30201e+07,2.01574e-18,-3.16628e-18,2.3086e-14,3.41602e-10,1.16571e-08,1.19987e-08
159,1.6e-05,154.508,330258,3.30258e+07,2.36553e-18,-2.86306e-18,2.30906e-14,3.41671e-10,1.16571e-08,1.19988e-08
160,1.61e-05,154.983,330307,3.30307e+07,2.75175e-18,-2.55624e-18,2.30942e-14,3.41723e-10,1.16571e-08,1.19988e-08
161,1.62e-05,155.601,330274,3.30274e+07,3.38053e-18,-1.933e-18,2.30907e-14,3.41655e-10,1.16571e-08,1.19988e-08
162,1.63e-05,156.274,330279,3.30279e+07,3.86609e-18,-1.55698e-18,2.30906e-14,3.41647e-10,1.16571e-08,1.19987e-08
163,1.64e-05,156.939,330332,3.30332e+07,4.54753e-18,-1.12243e-18,2.3095e-14,3.41717e-10,1.16571e-08,1.19988e-08
164,1.65e-05,157.591,330399,3.30399e+07,4.22746e-18,-7.36291e-19,2.31006e-14,3.41806e-10,1.16571e-08,1.19989e-08
165,1.66e-05,158.07,330397,3.30397e+07,4.11856e-18,-8.64732e-19,2.31e-14,3.41789e-10,1.16571e-08,1.19989e-08
166,1.67e-05,158.646,330416,3.30416e+07,4.38252e-18,-6.50538e-19,2.31011e-14,3.41804e-10,1.16571e-08,1.19989e-08
167,1.68e-05,159.216,330339,3.30339e+07,4.25972e-18,-1.6074e-19,2.30937e-14,3.41667e-10,1.16571e-08,1.19988e-08
168,1.69e-05,159.449,330320,3.3032e+07,4.58298e-18,-4.62611e-19,2.30915e-14,3.41623e-10,1.16571e-08,1.19987e-08
169,1.7e-05,159.958,330273,3.30273e+07,4.62558e-18,-1.08984e-18,2.30866e-14,3.41528e-10,1.16571e-08,1.19986e-08
170,1.71e-05,160.481,330340,3.3034e+07,4.20915e-18,-1.79683e-18,2.30921e-14,3.41617e-10,1.16571e-08,1.19987e-08
171,1.72e-05,160.853,330317,3.30317e+07,4.00626e-18,-1.47069e-18,2.30898e-14,3.41573e-10,1.16571e-08,1.19987e-08
172,1.73e-05,161.307,330275,3.30275e+07,3.75366e-18,-1.93596e-18,2.30856e-14,3.41495e-10,1.16571e-08,1.19986e-08
173,1.74e-05,161.868,330310,3.3031e+07,4.7855e-18,-1.47109e-18,2.30882e-14,3.4153e-10,1.16571e-08,1.19986e-08
174,1.75e-05,162.309,330312,3.30312e+07,4.28933e-18,-1.55565e-18,2.3088e-14,3.41523e-10,1.16571e-08,1.19986e-08
175,1.76e-05,162.694,330287,3.30287e+07,4.56415e-18,-2.02281e-18,2.30853e-14,3.41473e-10,1.16571e-08,1.19986e-08
176,1.77e-05,163.185,330346,3.30346e+07,4.79148e-18,-1.35957e-18,2.30904e-14,3.4156e-10,1.16571e-08,1.19987e-08
177,1.78e-05,163.688,330240,3.3024e+07,5.23907e-18,-8.03297e-19,2.30805e-14,3.41385e-10,1.16571e-08,1.19985e-08
178,1.79e-05,164.293,330257,3.30257e+07,5.46664e-18,-1.25545e-18,2.30817e-14,3.41399e-10,1.16571e-08,1.19985e-08
179,1.8e-05,164.875,330239,3.30239e+07,4.72955e-18,-2.07004e-18,2.30798e-14,3.41362e-10,1.16571e-08,1.19985e-08
180,1.81e-05,165.177,330245,3.30245e+07,4.69846e-18,-2.09998e-18,2.30801e-14,3.41366e-10,1.16571e-08,1.19985e-08
181,1.82e-05,165.443,330312,3.30312e+07,5.39275e-18,-1.72451e-18,2.30859e-14,3.41465e-10,1.16571e-08,1.19986e-08
182,1.83e-05,165.995,330314,3.30314e+07,5.73245e-18,-1.81581e-18,2.30859e-14,3.41462e-10,1.16571e-08,1.19986e-08
183,1.84e-05,166.323,330275,3.30275e+07,5.67444e-18,-1.90699e-18,2.30823e-14,3.41396e-10,1.16571e-08,1.19985e-08
184,1.85e-05,166.863,330280,3.3028e+07,5.3769e-18,-2.55373e-18,2.30827e-14,3.41402e-10,1.16571e-08,1.19985e-08
185,1.86e-05,167.549,330190,3.3019e+07,5.22157e-18,-2.46133e-18,2.30746e-14,3.41258e-10,1.16571e-08,1.19984e-08
186,1.87e-05,168.177,330309,3.30309e+07,5.16858e-18,-2.18235e-18,2.30852e-14,3.41442e-10,1.16571e-08,1.19985e-08
187,1.88e-05,168.726,330305,3.30305e+07,4.91928e-18,-2.16419e-18,2.30846e-14,3.41428e-10,1.16571e-08,1.19985e-08
188,1.89e-05,169.214,330265,3.30265e+07,4.48852e-18,-2.22387e-18,2.3081e-14,3.41367e-10,1.16571e-08,1.19985e-08
189,1.9e-05,169.853,330210,3.3021e+07,4.62916e-18,-1.94066e-18,2.3076e-14,3.41279e-10,1.16571e-08,1.19984e-08
190,1.91e-05,170.424,330235,3.30235e+07,5.50452e-18,-1.63795e-18,2.30781e-14,3.41314e-10,1.16571e-08,1.19984e-08
